case,x,v_x_0
h=0,0.1456,0.133489520171633
h=0,0.14600000000000002,0.13384626986903225
h=0,0.1464,0.13420291990152752
h=0,0.1468,0.13455947005589874
h=0,0.1472,0.1349159201189369
h=0,0.1476,0.13527226987744517
h=0,0.14800000000000002,0.13562851911823814
h=0,0.1484,0.13598466762814382
h=0,0.14880000000000002,0.13634071519400234
h=0,0.1492,0.13669666160266666
h=0,0.1496,0.13705250664100374
h=0,0.15,0.1374082500958939
h=0,0.1504,0.137763891754232
h=0,0.15080000000000002,0.13811943140292682
h=0,0.1512,0.13847486882890256
h=0,0.1516,0.13883020381909766
h=0,0.152,0.1391854361604678
h=0,0.1524,0.13954056563998238
h=0,0.15280000000000002,0.13989559204462848
h=0,0.1532,0.14025051516140974
h=0,0.15360000000000001,0.14060533477734505
h=0,0.154,0.1409600506794727
h=0,0.1544,0.14131466265484713
h=0,0.15480000000000002,0.14166917049054165
h=0,0.1552,0.1420235739736468
h=0,0.15560000000000002,0.14237787289127282
h=0,0.156,0.14273206703054814
h=0,0.1564,0.1430861561786212
h=0,0.1568,0.14344014012265935
h=0,0.1572,0.14379401864985022
h=0,0.15760000000000002,0.14414779154740281
h=0,0.158,0.14450145860254518
h=0,0.1584,0.14485501960252747
h=0,0.1588,0.14520847433462114
h=0,0.1592,0.14556182258611886
h=0,0.15960000000000002,0.1459150641443365
h=0,0.16,0.1462681987966115
h=0,0.16040000000000001,0.14662122633030378
h=0,0.1608,0.1469741465327982
h=0,0.1612,0.14732695919150063
h=0,0.16160000000000002,0.14767966409384292
h=0,0.162,0.14803226102727995
h=0,0.16240000000000002,0.14838474977929186
h=0,0.1628,0.14873713013738285
h=0,0.1632,0.14908940188908362
h=0,0.1636,0.14944156482194862
h=0,0.164,0.14979361872356045
h=0,0.16440000000000002,0.15014556338152685
h=0,0.1648,0.15049739858348166
h=0,0.1652,0.15084912411708679
h=0,0.1656,0.1512007397700312
h=0,0.166,0.15155224533003156
h=0,0.16640000000000002,0.15190364058483172
h=0,0.1668,0.15225492532220616
h=0,0.16720000000000002,0.15260609932995559
h=0,0.1676,0.1529571623959115
h=0,0.168,0.15330811430793392
h=0,0.16840000000000002,0.15365895485391354
h=0,0.1688,0.1540096838217707
h=0,0.16920000000000002,0.15436030099945602
h=0,0.1696,0.15471080617495145
h=0,0.17,0.15506119913627014
h=0,0.1704,0.15541147967145677
h=0,0.1708,0.15576164756858799
h=0,0.17120000000000002,0.15611170261577206
h=0,0.1716,0.15646164460115125
h=0,0.17200000000000001,0.15681147331289932
h=0,0.1724,0.15716118853922476
h=0,0.1728,0.15751079006836877
h=0,0.17320000000000002,0.1578602776886064
h=0,0.1736,0.15820965118824817
h=0,0.17400000000000002,0.15855891035563888
h=0,0.1744,0.15890805497915822
h=0,0.1748,0.15925708484722118
h=0,0.1752,0.15960599974827902
h=0,0.1756,0.1599547994708194
h=0,0.17600000000000002,0.16030348380336543
h=0,0.1764,0.16065205253447845
h=0,0.1768,0.16100050545275538
h=0,0.1772,0.16134884234683236
h=0,0.1776,0.16169706300538286
h=0,0.17800000000000002,0.16204516721711826
h=0,0.1784,0.16239315477078883
h=0,0.17880000000000001,0.16274102545518393
h=0,0.1792,0.1630887790591323
h=0,0.1796,0.16343641537150205
h=0,0.18000000000000002,0.16378393418120224
h=0,0.1804,0.16413133527718146
h=0,0.18080000000000002,0.16447861844842848
h=0,0.1812,0.16482578348397517
h=0,0.1816,0.165172830172893
h=0,0.182,0.16551975830429583
h=0,0.1824,0.16586656766734081
h=0,0.18280000000000002,0.1662132580512258
h=0,0.1832,0.166559829245193
h=0,0.1836,0.1669062810385272
h=0,0.184,0.1672526132205566
h=0,0.1844,0.1675988255806536
h=0,0.18480000000000002,0.16794491790823543
h=0,0.1852,0.16829088999276345
h=0,0.18560000000000001,0.16863674162374362
h=0,0.186,0.1689824725907286
h=0,0.1864,0.16932808268331515
h=0,0.18680000000000002,0.169673571691147
h=0,0.1872,0.17001893940391485
h=0,0.18760000000000002,0.17036418561135586
h=0,0.188,0.1707093101032527
h=0,0.1884,0.17105431266943846
h=0,0.1888,0.17139919309979162
h=0,0.1892,0.17174395118424016
h=0,0.18960000000000002,0.1720885867127606
h=0,0.19,0.17243309947537758
h=0,0.1904,0.17277748926216602
h=0,0.1908,0.17312175586325007
h=0,0.1912,0.17346589906880364
h=0,0.19160000000000002,0.17380991866905138
h=0,0.192,0.1741538144542683
h=0,0.19240000000000002,0.17449758621478093
h=0,0.1928,0.1748412337409669
h=0,0.1932,0.1751847568232555
h=0,0.19360000000000002,0.1755281552521283
h=0,0.194,0.17587142881812
h=0,0.19440000000000002,0.17621457731181736
h=0,0.1948,0.1765576005238597
h=0,0.1952,0.1769004982449422
h=0,0.1956,0.17724327026581146
h=0,0.196,0.1775859163772695
h=0,0.19640000000000002,0.17792843637017397
h=0,0.1968,0.17827083003543476
h=0,0.19720000000000001,0.1786130971640201
h=0,0.1976,0.1789552375469519
h=0,0.198,0.17929725097530938
h=0,0.19840000000000002,0.1796391372402274
h=0,0.1988,0.1799808961328976
h=0,0.19920000000000002,0.18032252744456934
h=0,0.1996,0.18066403096654862
h=0,0.2,0.1810054064902004
h=0,0.20040000000000002,0.18134665380694678
h=0,0.2008,0.18168777270826889
h=0,0.20120000000000002,0.18202876298570675
h=0,0.2016,0.1823696244308591
h=0,0.202,0.1827103568353858
h=0,0.2024,0.18305095999100549
h=0,0.2028,0.18339143368949676
h=0,0.20320000000000002,0.18373177772269988
h=0,0.2036,0.1840719918825159
h=0,0.20400000000000001,0.18441207596090717
h=0,0.2044,0.18475202974989763
